# Name,time_stamp,field1,field2
scientist n:0,2017-7-25 19:9:18,computers,the human body
scientist n:1,2017-7-6 13:27:33,matter,animals
scientist n:2,2017-8-29 10:13:47,plants,matter
scientist n:3,2017-8-21 8:3:44,rocks,machines
scientist n:4,2017-8-15 21:8:1,space,plants
scientist n:5,2017-8-13 18:48:48,engineering,cells
scientist n:6,2017-7-6 18:40:34,energy,matter
scientist n:7,2017-8-7 16:56:35,the environment,computers
scientist n:8,2017-8-20 17:45:23,engineering,animals
scientist n:9,2017-8-26 19:27:53,cells,the human body
scientist n:10,2017-8-6 20:47:28,the brain,weather
scientist n:11,2017-7-4 21:30:49,computers,weather
scientist n:12,2017-7-15 13:54:12,the environment,weather
scientist n:13,2017-7-10 9:52:23,engineering,
scientist n:14,2017-7-23 10:19:45,the human body,cells
scientist n:15,2017-7-20 17:5:5,rocks,the human body
scientist n:16,2017-8-10 15:18:57,chemicals,oceans
scientist n:17,2017-8-19 21:9:4,medicine,the brain
scientist n:18,2017-8-24 15:29:0,engineering,the environment
scientist n:19,2017-7-15 20:41:2,space,matter
scientist n:20,2017-8-14 15:36:59,engineering,the environment
scientist n:21,2017-8-9 12:54:49,the brain,medicine
scientist n:22,2017-7-1 11:37:46,space,medicine
scientist n:23,2017-8-29 20:59:39,medicine,computers
scientist n:24,2017-7-3 15:2:13,animals,the environment
scientist n:25,2017-7-31 20:27:18,the environment,medicine
scientist n:26,2017-7-16 18:27:45,matter,machines
scientist n:27,2017-7-11 10:11:10,the brain,engineering
scientist n:28,2017-8-3 14:43:57,rocks,the environment
scientist n:29,2017-8-6 10:0:56,cells,animals
