# Name,enthusiasm,field
student n:0,1,space
student n:1,5,the environment
student n:2,1,chemicals
student n:3,2,something else
student n:4,1,animals
student n:5,3,space
student n:6,2,cells
student n:7,1,weather
student n:8,2,machines
student n:9,5,cells
student n:10,1,medicine
student n:11,2,computers
student n:12,5,energy
student n:13,5,animals
student n:14,5,plants
student n:15,2,the environment
student n:16,4,space
student n:17,1,oceans
student n:18,3,computers
student n:19,5,machines
student n:20,3,space
student n:21,4,the human body
student n:22,3,chemicals
student n:23,2,engineering
student n:24,1,the environment
student n:25,5,medicine
student n:26,2,chemicals
student n:27,3,animals
student n:28,4,the human body
student n:29,2,engineering
student n:30,3,the environment
student n:31,3,the human body
student n:32,4,space
student n:33,2,energy
student n:34,2,the human body
student n:35,1,energy
student n:36,2,the brain
student n:37,5,weather
student n:38,4,the brain
student n:39,1,engineering
student n:40,2,engineering
student n:41,3,machines
student n:42,4,engineering
student n:43,1,matter
student n:44,1,matter
student n:45,2,weather
student n:46,1,space
student n:47,5,computers
student n:48,5,computers
student n:49,5,oceans
student n:50,1,matter
student n:51,1,animals
student n:52,3,the human body
student n:53,2,animals
student n:54,3,animals
student n:55,4,space
student n:56,4,matter
student n:57,3,chemicals
student n:58,3,machines
student n:59,3,computers
student n:60,1,plants
student n:61,3,the brain
student n:62,3,space
student n:63,2,matter
student n:64,5,oceans
student n:65,4,oceans
student n:66,1,animals
student n:67,3,animals
student n:68,3,computers
student n:69,1,plants
student n:70,4,weather
student n:71,4,rocks
student n:72,5,weather
student n:73,2,engineering
student n:74,1,space
student n:75,5,the brain
student n:76,5,the environment
student n:77,2,chemicals
student n:78,5,weather
student n:79,1,medicine
student n:80,2,oceans
student n:81,1,oceans
student n:82,4,medicine
student n:83,4,machines
student n:84,1,plants
student n:85,2,matter
student n:86,3,the human body
student n:87,3,weather
student n:88,5,the brain
student n:89,4,computers
student n:90,5,cells
student n:91,2,the brain
student n:92,4,computers
student n:93,5,rocks
student n:94,4,space
student n:95,4,engineering
student n:96,1,matter
student n:97,1,the brain
student n:98,4,weather
student n:99,2,machines
